City,Accounting,March,April,May,estimate
高雄,有,4161,4167,4149,
台南,有,6329,5798,5326,
台南,沒有,,,,9001 - 10000
高雄市,沒有,,,,6001 - 7000
高雄,沒有,,,,12001以上
台中市,沒有,,,,7001 - 8000
新竹,沒有,,,,4001 -  5000
新竹,沒有,,,,3001 - 4000
臺北市,有,6320,6530,6170,
南投,沒有,,,,4001 -  5000
台北市,沒有,,,,4001 -  5000
台北市,有,5735,3542,3751,
桃園,沒有,,,,4001 -  5000
臺南市,沒有,,,,6001 - 7000
台北,沒有,,,,4001 -  5000
台北市,有,6043,5125,7210,
新北市,有,3459,5621,8724,
台中市,沒有,,,,4001 -  5000
彰化市,有,10760,9061,8655,
台南,有,5301,6372,7886,
宜蘭,有,10043,9827,9511,
台東,有,13000,12000,14000,
高雄,沒有,,,,8001 - 9000
嘉義縣,有,約3000,約3000,約3200,
新竹縣,沒有,,,,5001 - 6000
高雄,有,6846,4913,5419,
台北,沒有,,,,5001 - 6000
僑生,沒有,,,,4001 -  5000
高雄市,沒有,,,,4001 -  5000
台北市,沒有,,,,6001 - 7000
桃園市,沒有,,,,9001 - 10000
台北市,沒有,,,,5001 - 6000
高雄市,沒有,,,,8001 - 9000
台北,沒有,,,,4001 -  5000
新北市,沒有,,,,5001 - 6000
台北,沒有,,,,7001 - 8000
新竹縣,有,5020,4340,4653,
新竹市,有,4000,5000,3000,
桃園市,沒有,,,,6001 - 7000
桃園,有,7320,5395,5358,
新竹縣,沒有,,,,5001 - 6000
國外,沒有,,,,4001 -  5000
嘉義市,沒有,,,,4001 -  5000
台北市,沒有,,,,6001 - 7000
桃園,有,2647,2306,2791,
雲林縣,有,6372,7754,6751,
新竹縣,沒有,,,,3001 - 4000
台南,沒有,,,,7001 - 8000
台北市,沒有,,,,4001 -  5000
彰化,沒有,,,,7001 - 8000
新竹縣,沒有,,,,3000以下
花蓮,有,6381,5113,4631,
馬來西亞,有,4360,3842,4646,
Batu Pahat,有,3500,4000,3500,
高雄,沒有,,,,8001 - 9000
新竹市,沒有,,,,3001 - 4000
台北,有,7555,7200,4422,
台中,沒有,,,,6001 - 7000
新竹市,有,5000,5500,6000,
澎湖縣,有,7000,7500,9000,
宜蘭,有,6890,4150,6630,
台中市,沒有,,,,3001 - 4000
高雄市,有,3443,2532,2217,
苗栗,沒有,,,,3001 - 4000
台南,沒有,,,,7001 - 8000
高雄,沒有,,,,6001 - 7000
新竹,沒有,,,,7001 - 8000
新北,沒有,,,,3001 - 4000
臺南,有,4559,6156,7852,
花蓮,沒有,,,,3001 - 4000
宜蘭,沒有,,,,4001 -  5000
高雄,沒有,,,,7001 - 8000
嘉義,沒有,,,,6001 - 7000
